ID;Surname;Forename;name;gnd_id;gnd_url;wikipedia_url
P18881;von Antiochien;Ignatius;Ignatius von Antiochien;118555340;https://d-nb.info/gnd/118555340;https://de.wikipedia.org/wiki/Ignatius_von_Antiochia
P19930;Smyrnäus;Polycarpus;Polycarpus Smyrnäus;11859558X;https://d-nb.info/gnd/11859558X;https://de.wikipedia.org/wiki/Polykarp_von_Smyrna
P19894;Atheniensis;Athenagoras;Athenagoras Atheniensis;118646141;https://d-nb.info/gnd/118646141;https://de.wikipedia.org/wiki/Athenagoras_von_Athen
P21365;Antiochenus;Theophilus;Theophilus Antiochenus;118756923;https://d-nb.info/gnd/118756923;https://de.wikipedia.org/wiki/Theophilus_(Antiochia)
P18056;von Lyon;Irenäus;Irenäus von Lyon;118555766;https://d-nb.info/gnd/118555766;https://de.wikipedia.org/wiki/Iren%C3%A4us_von_Lyon
P17746;Tertullian;Quintus Septimius Florens;Quintus Septimius Florens Tertullian;118621386;https://d-nb.info/gnd/118621386;https://de.wikipedia.org/wiki/Tertullian
P18512;von Rom;Hippolyt;Hippolyt von Rom;118551418;https://d-nb.info/gnd/118551418;https://de.wikipedia.org/wiki/Hippolyt_von_Rom
P18513;von Rom;Hippolytos;Hippolytos von Rom;118551418;https://d-nb.info/gnd/118551418;https://de.wikipedia.org/wiki/Hippolyt_von_Rom
P17753;Origenes;;Origenes;118590235;https://d-nb.info/gnd/118590235;https://de.wikipedia.org/wiki/Origenes
P18988;von Kathargo ;Cyprian;Cyprian;1026798183;https://d-nb.info/gnd/1026798183;https://de.wikipedia.org/wiki/Cyprian_von_Karthago
P17899;von Caesarea;Eusebius;Eusebius von Caesarea;118531425;https://d-nb.info/gnd/118531425;https://de.wikipedia.org/wiki/Eusebius_von_Caesarea
P18048;von Poitiers;Hilarius;Hilarius von Poitiers;118550896;https://d-nb.info/gnd/118550896;https://de.wikipedia.org/wiki/Hilarius_von_Poitiers
P18895;von Alexandrien;Athanasius;Athanasius von Alexandrien;118504843;https://d-nb.info/gnd/118504843;https://de.wikipedia.org/wiki/Athanasius_der_Große
P18887;;Basilius der Grosse (Caesariensis);Basilius der Grosse (Caesariensis);118637797;https://d-nb.info/gnd/118637797;https://de.wikipedia.org/wiki/Basilius_der_Gro%C3%9Fe
P17965;von Nazianz;Gregor;Gregor von Nazianz;118541900;https://d-nb.info/gnd/118541900;https://de.wikipedia.org/wiki/Gregor_von_Nazianz
P18993;von Mailand;Ambrosius;Ambrosius von Mailand;11850245X;https://d-nb.info/gnd/11850245X;https://de.wikipedia.org/wiki/Ambrosius_von_Mailand
P18454;Didymus der Blinde;;Didymus der Blinde;118678213;https://d-nb.info/gnd/118678213;https://de.wikipedia.org/wiki/Didymus_der_Blinde
P17892;von Salamis;Epiphanius;Epiphanius von Salamis;118682229;https://d-nb.info/gnd/118682229;https://de.wikipedia.org/wiki/Epiphanios_von_Salamis
P4541;Chrysostomus;Johannes;Johannes Chrysostomus;118557831;https://d-nb.info/gnd/118557831;https://de.wikipedia.org/wiki/Johannes_Chrysostomos
P18986;Hieronymus;Sophronius Eusebius;Sophronius Eusebius Hieronymus;118550853;https://d-nb.info/gnd/118550853;https://de.wikipedia.org/wiki/Hieronymus_(Kirchenvater)
P18700;von Hippo;Augustinus;Augustinus von Hippo;118505114;https://d-nb.info/gnd/118505114;https://de.wikipedia.org/wiki/Augustinus_von_Hippo
P17867;von Alexandrien;von Alexandrien;Cyrill von Alexandrien;118523139;https://d-nb.info/gnd/118523139;https://de.wikipedia.org/wiki/Kyrill_von_Alexandria
P18346;von Kyrrhos;Theodoret;Theodoret von Kyrrhos;118756796;https://d-nb.info/gnd/118756796;https://de.wikipedia.org/wiki/Theodoret
P18989;Boethius;Anicius Manlius Severinus;Anicius Manlius Severinus Boethius;11851282X;https://d-nb.info/gnd/11851282X;https://de.wikipedia.org/wiki/Boethius
P18489;;Papst Gregor I. (der Große);Papst Gregor I. (der Große);118541838;https://d-nb.info/gnd/118541838;https://de.wikipedia.org/wiki/Gregor_der_Gro%C3%9Fe
P18057;von Sevilla;Isidor;Isidor von Sevilla;118555995;https://d-nb.info/gnd/118555995;https://de.wikipedia.org/wiki/Isidor_von_Sevilla
P19019;von Hierapolis;Papias;Papias von Hierapolis;102401527;https://d-nb.info/gnd/102401527;https://de.wikipedia.org/wiki/Papias_von_Hierapolis
P18974;;Arnobius d.Ä.;Arnobius d.Ä.;118650335;https://d-nb.info/gnd/118650335;https://de.wikipedia.org/wiki/Arnobius_der_%C3%84ltere
P18058;Firmicus Maternus;Iulius;Iulius Firmicus Maternus;118683659;https://d-nb.info/gnd/118683659;https://de.wikipedia.org/wiki/Iulius_Firmicus_Maternus
P19001;Lactantius (Laktanz);Lucius Caecilius Firmianus;Lucius Caecilius Firmianus Lactantius (Laktanz);118725831;https://d-nb.info/gnd/118725831;https://de.wikipedia.org/wiki/Lactantius
P16781;Marius Victorinus;Gaius;Gaius Marius Victorinus;118577964;https://d-nb.info/gnd/118577964;https://de.wikipedia.org/wiki/Gaius_Marius_Victorinus
P21122;;Macrobius Ambrosius Theodosius;Macrobius Ambrosius Theodosius;118640763;https://d-nb.info/gnd/118640763;https://de.wikipedia.org/wiki/Macrobius_Ambrosius_Theodosius
P17828;von Nursia;Benedikt;Benedikt von Nursia;118508911;https://d-nb.info/gnd/118508911;https://de.wikipedia.org/wiki/Benedikt_von_Nursia
P17752;von Alexandrien;Clemens;Clemens von Alexandrien;118563122;https://d-nb.info/gnd/118563122;https://de.wikipedia.org/wiki/Clemens_von_Alexandria
P21116;(Bischof);Dionysius von Alexandria;Dionysius von Alexandria (Bischof);118525905;https://d-nb.info/gnd/118525905;https://de.wikipedia.org/wiki/Dionysius_von_Alexandria
P4867;Ruspe;Fulgenzio;Claudius Gordianus Fulgentius;118536834;https://d-nb.info/gnd/118536834;https://de.wikipedia.org/wiki/Fulgentius_von_Ruspe
P17933;von Marseille;Gennadius;Gennadius von Marseille;100942261;https://d-nb.info/gnd/100942261;https://de.wikipedia.org/wiki/Gennadius_von_Marseille
P19886;Novatian;;Novatian;118786474;https://d-nb.info/gnd/118786474;https://de.wikipedia.org/wiki/Novatian
P19409;Carthaginiensis;Quodvultdeus;Quodvultdeus Carthaginiensis;118968289;https://d-nb.info/gnd/118968289;https://de.wikipedia.org/wiki/Quodvultdeus
P18889;Rufinus von Aquileia;;Rufinus von Aquileia;118750313;https://d-nb.info/gnd/118750313;https://de.wikipedia.org/wiki/Rufinus_von_Aquileia
P19014;Sozomenos;Salamanes Hermeias;Salamanes Hermeias Sozomenos;118798162;https://d-nb.info/gnd/118798162;https://de.wikipedia.org/wiki/Sozomenos
P18343;Severus;Sulpicius;Sulpicius Severus;118757806;https://d-nb.info/gnd/118757806;https://de.wikipedia.org/wiki/Sulpicius_Severus
P20001;;Tatian;Tatian;11864310X;https://d-nb.info/gnd/11864310X;https://de.wikipedia.org/wiki/Tatian